Group,Category,Type,Brand,Texture,Color,Thickness,Size,MinStockQty,IndUoM,PackUoM,PackQty
Consumables,Machine Consumables,Molleton Cloth,sormz,,,,#5,,strip,,
Consumables,Machine Consumables,Washer Blade,GTO,,,,,,piece,,
Consumables,Machine Consumables,Washer Blade,KORS,,,,,,piece,,
Consumables,Machine Consumables,Washer Blade,SORMZ,,,,,,piece,,
Consumables,Machine Consumables,Roller Wash,,,,,20L,,piece,,
Consumables,Machine Consumables,Roller Cleaning Paste,Hydromarc,,,,,,container,,
Consumables,Machine Consumables,Master Roll,Akinto,,,,,,piece,,
Consumables,Machine Consumables,Developer Filter,,,,,,,piece,,
Consumables,Machine Consumables,Plate Replenisher,,,,,20l,,piece,,
Consumables,Machine Consumables,Plate Finisher,,,,,5l,,piece,,
Consumables,Machine Consumables,Plate Developer,,,,,20l,,piece,,
Consumables,Machine Consumables,Molleton Cloth,Processor,,,,#9,,strip,,
Consumables,Machine Consumables,Cutting Stick,Polar,,,,45in,,piece,,
Consumables,Machine Consumables,Cutting Stick,Senator,,,,32in,,piece,,
Consumables,Machine Consumables,Hairline,,,,,2pts,,piece,,
Consumables,Machine Consumables,Offset Strip,,,,,,,piece,,
Consumables,Machine Consumables,Offset Score,,,,,,,piece,,
Consumables,Machine Consumables,Perforating Rule,,,,,,,piece,,
Consumables,Machine Consumables,Slug,,,,,2pts,,piece,,
Consumables,Machine Consumables,NSK Wheel Bearing,GTO,,,,,,box,,
Consumables,Machine Consumables,Ribbon Cartridge,LX300,,,,,,piece,,
Consumables,Machine Consumables,Ribbon Cartridge,LQ300,,,,,,piece,,
Consumables,Machine Consumables,Ribbon Cartridge,LQ310,,,,,,piece,,
Consumables,Machine Consumables,Toner,Laserjet 1505 36A,,,,,,piece,,
Consumables,Others,Candle,,,,,,,piece,,
Consumables,Others,ID Holder,,,,,,,piece,,
Consumables,Others,Gawgaw,Liwayway,,,,,,pack,,
Consumables,Others,Facemask,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Ballpen,,,Black,,,,piece,,
Office Supplies,Stationary and Supplies,Ballpen,,,Red,,,,piece,,
Office Supplies,Stationary and Supplies,Calling Card Case,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Correction Tape,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Cutter Blade,,,,,Small,,piece,,
Office Supplies,Stationary and Supplies,Cutter with Handle,,,,,Small,,piece,,
Office Supplies,Stationary and Supplies,Double-sided Tape,,,,,1/2in,,piece,,
Office Supplies,Stationary and Supplies,Cellulose Tape,Evercell,,,,,,piece,,
Office Supplies,Stationary and Supplies,Masking Tape,,,,,1/2in,,piece,,
Office Supplies,Stationary and Supplies,Packaging Tape,,,Tan,,,,piece,,
Office Supplies,Stationary and Supplies,Packaging Tape,,,Clear,,,,piece,,
Office Supplies,Stationary and Supplies,Paper Clip,,,,,Small,,box,,
Office Supplies,Stationary and Supplies,Paper Clip,,,,,Big,,box,,
Office Supplies,Stationary and Supplies,Paper Eraser,,,,,,,box,,
Office Supplies,Stationary and Supplies,Paper Fastener,,,,,,,box,,
Office Supplies,Stationary and Supplies,Permanent Marker,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Pencil,,,,,,,box,,
Office Supplies,Stationary and Supplies,Ribbon,,,Red,,,,piece,,
Office Supplies,Stationary and Supplies,Scotch Tape,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Stamp Pad Ink,,,Blue,,,,bottle,,
Office Supplies,Stationary and Supplies,Staple Wire,#10,,,,Small,,box,,
Office Supplies,Stationary and Supplies,Staple Wire,#10,,,,Big,,box,,
Office Supplies,Stationary and Supplies,Staple Wire,#13,,,,,,box,,
Office Supplies,Stationary and Supplies,Staple Wire,#15,,,,,,box,,
Office Supplies,Stationary and Supplies,Staple Wire,#17,,,,,,box,,
Office Supplies,Stationary and Supplies,Staple Wire,#35,,,,,,box,,
Office Supplies,Stationary and Supplies,Ring Binder,,,,,small,,piece,,
Office Supplies,Stationary and Supplies,Stone Eraser,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Thermal Paper,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Type Writer Ribbon Refill,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Board Marker,,,wyte,,,,piece,,
Office Supplies,Stationary and Supplies,Tape,3M,,Red,,,,piece,,
Office Supplies,Stationary and Supplies,Glue,,,White,,,,piece,,
Office Supplies,Stationary and Supplies,CD,,,,,,,piece,,
Office Supplies,Stationary and Supplies,DVDR,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Logbook,,,,,,,piece,,
Office Supplies,Stationary and Supplies,PVC,,,,,30ml,,piece,,
Consumables,Ink,,Imperial,,Green,,2kg,,can,,
Paper,Special Paper,,Catalina,,Orange,75gsm,,,sheet,,
Paper,Special Paper,,Burano,,Light Green,90gsm,27x39,,sheet,,
Paper,Special Paper,,Burano,,Violet,90gsm,27x39,,sheet,,
Paper,Special Paper,,Burano,,Bright Yellow,90gsm,27x39,,sheet,,
Paper,Special Paper,Photopaper,Fortune Sources,Glossy,,,50x30,,roll,,
Paper,Special Paper,,Athenea,Laid,Blanco Diamante,90gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,Galacia,Parchment,White,,27.5x39.3,,sheet,,
Paper,Newsprint Paper,,Triplex newsprint,,White,,34x32.5,,sheet,ream,480
Paper,Special Paper,burano salmon,Versa Fine,,Colored Salmon,90gsm,27.5x39.3,,sheet,,
Paper,Special Paper,catalina cyber green,versa fine,75gsm,cyber green,,22.5x35.4,,sheet,,
Paper,Special Paper,matte coated #160,triplex,,,,25x38,,sheet,,
Paper,Sticker,satin W/B,yunitrade,,white,glossy,24x36,,sheet,,
Paper,Envelope,kraft envelope,trojan,,brown,#150,10x15,,pcs,box,500
Paper,Special Paper,Bevania splendorgel,prestige,,white,270gsm,28x39.3,,sheet,,
Paper,Special Paper,burano colored,,,fire red,250gsm,27.5x39.3,,sheet,,
Consumables,Maintenance Materials,zonrox bleach,,,,,,,bottle,,
Paper,Special Paper,athenea laid,,,natural white,90gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,gold,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,sky blue,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,spring green,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,yellow,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,lila,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,green,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,orange,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,pink,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,light green,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,shocking pink,200gsm,27.5x39.3,,sheet,,
Paper,Special Paper,,burano,,blue,200gsm,27.5x39.3,,sheet,,
Paper,Newsprint Paper,,Papermart Newsprint,,white,,22x35.5,,sheet,ream,480
Consumables,Maintenance Materials,Floor Cleaner,,,,,,,pieces,,
Consumables,Maintenance Materials,Liquid Handsoap,,,,,,,piece,,
Office Supplies,Stationary and Supplies,clip binder,,,,,,,piece,,
Office Supplies,Stationary and Supplies,Stabilo marker,,,,,,,piece,,
Paper,Sticker,Vinyl sticker,,glossy,white,80microns,50x50mm,,roll,,
Office Supplies,Stationary and Supplies,Plastic Cover,,,,,,,piece,,
